To learn about increasing the verbosity of the NGen log files please see http://go.microsoft.com/fwlink/?linkid=210113
06/29/2018 19:26:06.262 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=fr, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:06.465 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=it, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:06.684 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=ja, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:06.887 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=ko, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:07.106 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=ru, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:07.309 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=zh-Hans, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:07.700 [1860]: 1>    Compiling assembly Microsoft.ServiceModel.DomainServices.Tools.resources, Version=4.0.0.00000, Culture=zh-Hant, PublicKeyToken=31BF3856AD364E35 (CLR v4.0.30319) ...
06/29/2018 19:26:08.340 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:10.684 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:11.747 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Controls, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:13.372 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Diff, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:13.653 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Discussion.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:14.356 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Lab.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:15.637 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Lab.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:16.106 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Lab.TestIntegration.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:16.419 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.Lab.WorkflowIntegration.Client, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:17.013 [1860]: Failed to load dependency Microsoft.Office.Interop.MSProject of assembly Microsoft.TeamFoundation.OfficeIntegration.Common, Version=11.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a because of the following error : The system cannot find the file specified. (Exception from HRESULT: 0x80070002)
06/29/2018 19:26:17.278 [1860]: 1>    Compiling assembly Microsoft.TeamFoundation.OfficeIntegration.Common, Version=11.0.0.00000, Culture=neutral, PublicKeyToken=B03F5F7F11D50A3A (CLR v4.0.30319) ...
06/29/2018 19:26:18.122 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x1000021 - Microsoft.Office.Interop.MSProject.Application.
06/29/2018 19:26:18.450 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x1000077 - Microsoft.Office.Interop.MSProject.Task.
06/29/2018 19:26:18.622 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x100009a - Microsoft.Office.Interop.MSProject.Project.
06/29/2018 19:26:18.684 [1860]: 1>Warning: System.IO.FileNotFoundException: Could not load file or assembly 'Microsoft.Office.Interop.MSProject, Version=12.0.0.0, Culture=neutral, PublicKeyToken=71e9bce111e9429c' or one of its dependencies. The system cannot find the file specified. while resolving 0x10000f4 - Microsoft.Office.Interop.MSProject.ApplicationClass.
